match_id,player_id,date,venue,event,match_type,total_overs,player_name,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,player11
1082632,f846de6a,2017-05-04,Feroz Shah Kotla,Indian Premier League,T20,20,MN Samuels,Delhi Daredevils,0,0,0,0,12,0,22,0,0,0,0,0,0,-2,0,-2,DR Smith,BB McCullum,SK Raina,KD Karthik,AJ Finch,Ishan Kishan,RA Jadeja,JP Faulkner,PJ Sangwan,Basil Thampi,Ankit Soni
1082635,f846de6a,2017-05-06,Feroz Shah Kotla,Indian Premier League,T20,20,MN Samuels,Delhi Daredevils,1,5,0,0,0,0,0,0,0,1,0,0,1,0,8,9,LMP Simmons,PA Patel,KA Pollard,RG Sharma,HH Pandya,N Rana,KV Sharma,Harbhajan Singh,MJ McClenaghan,SL Malinga,JJ Bumrah
1082640,f846de6a,2017-05-10,Green Park,Indian Premier League,T20,20,MN Samuels,Delhi Daredevils,1,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,DR Smith,Ishan Kishan,SK Raina,KD Karthik,AJ Finch,RA Jadeja,JP Faulkner,DS Kulkarni,PJ Sangwan,Basil Thampi,Ankit Soni
1082642,f846de6a,2017-05-12,Feroz Shah Kotla,Indian Premier League,T20,20,MN Samuels,Delhi Daredevils,27,22,1,2,6,0,12,0,0,0,0,0,32,0,0,32,AM Rahane,RA Tripathi,SPD Smith,MK Tiwary,BA Stokes,MS Dhoni,DT Christian,Washington Sundar,SN Thakur,JD Unadkat,A Zampa
1082646,f846de6a,2017-05-14,Feroz Shah Kotla,Indian Premier League,T20,20,MN Samuels,Delhi Daredevils,0,1,0,0,0,0,0,0,0,0,0,0,-2,0,0,-2,CH Gayle,Vishnu Vinod,V Kohli,TM Head,KM Jadhav,Sachin Baby,SR Watson,P Negi,HV Patel,Avesh Khan,YS Chahal
548308,f846de6a,2012-04-06,Wankhede Stadium,Indian Premier League,T20,20,MN Samuels,Pune Warriors,4,4,0,0,24,1,22,1,0,0,0,0,4,37,0,41,RE Levi,AT Rayudu,RG Sharma,JEC Franklin,KD Karthik,SA Yadav,KA Pollard,Harbhajan Singh,SL Malinga,PP Ojha,MM Patel
548313,f846de6a,2012-04-08,Subrata Roy Sahara Stadium,Indian Premier League,T20,20,MN Samuels,Pune Warriors,46,39,4,2,24,2,23,0,0,0,0,0,58,54,0,112,AC Gilchrist,PC Valthaty,Mandeep Singh,AM Nayar,DJ Hussey,PP Chawla,AD Mascarenhas,Bipul Sharma,JP Faulkner,P Kumar,Harmeet Singh
548319,f846de6a,2012-04-12,"Punjab Cricket Association Stadium, Mohali",Indian Premier League,T20,20,MN Samuels,Pune Warriors,2,13,0,0,22,0,27,0,0,0,0,0,-4,0,0,-4,PC Valthaty,AC Gilchrist,SE Marsh,Mandeep Singh,PP Chawla,DJ Hussey,AD Mascarenhas,P Awana,Bipul Sharma,Harmeet Singh,P Kumar
548322,f846de6a,2012-04-14,Subrata Roy Sahara Stadium,Indian Premier League,T20,20,MN Samuels,Pune Warriors,8,15,0,0,24,0,29,0,0,0,0,0,4,0,0,4,F du Plessis,M Vijay,SK Raina,MS Dhoni,RA Jadeja,JA Morkel,DJ Bravo,S Badrinath,KMDN Kulasekara,R Ashwin,VY Mahesh
548327,f846de6a,2012-04-17,M Chinnaswamy Stadium,Indian Premier League,T20,20,MN Samuels,Pune Warriors,34,20,1,2,12,1,5,0,0,0,0,0,47,31,0,78,TM Dilshan,CH Gayle,MA Agarwal,V Kohli,SS Tiwary,AB de Villiers,DL Vettori,R Vinay Kumar,Z Khan,HV Patel,KP Appanna
548330,f846de6a,2012-04-19,"MA Chidambaram Stadium, Chepauk",Indian Premier League,T20,20,MN Samuels,Pune Warriors,26,24,2,1,24,3,39,0,0,0,0,0,30,79,0,109,F du Plessis,S Badrinath,SK Raina,MS Dhoni,DJ Bravo,RA Jadeja,WP Saha,KMDN Kulasekara,R Ashwin,SB Jakati,DE Bollinger
548341,f846de6a,2012-04-26,Subrata Roy Sahara Stadium,Indian Premier League,T20,20,MN Samuels,Pune Warriors,3,8,0,0,24,1,39,0,0,0,0,0,3,25,0,28,PA Patel,S Dhawan,CL White,KC Sangakkara,JP Duminy,IR Jaggi,Ankit Sharma,A Ashish Reddy,A Mishra,J Theron,MS Gony
548348,f846de6a,2012-05-01,Barabati Stadium,Indian Premier League,T20,20,MN Samuels,Pune Warriors,1,1,0,0,18,1,33,1,0,0,0,0,1,31,0,32,PA Patel,S Dhawan,CL White,KC Sangakkara,JP Duminy,BB Samantray,Ankit Sharma,A Ashish Reddy,A Mishra,DW Steyn,V Pratap Singh
598000,f846de6a,2013-04-05,"Rajiv Gandhi International Stadium, Uppal",Indian Premier League,T20,20,MN Samuels,Pune Warriors,5,9,1,0,24,1,34,0,0,0,0,0,6,25,0,31,PA Reddy,PA Patel,KC Sangakkara,CL White,NLTC Perera,GH Vihari,A Ashish Reddy,DB Ravi Teja,A Mishra,DW Steyn,I Sharma
598003,f846de6a,2013-04-07,Subrata Roy Sahara Stadium,Indian Premier League,T20,20,MN Samuels,Pune Warriors,3,9,0,0,0,0,0,0,0,1,0,0,3,0,8,11,AC Gilchrist,Mandeep Singh,M Vohra,DJ Hussey,Azhar Mahmood,Gurkeerat Singh,R Sathish,PP Chawla,P Awana,P Kumar,RJ Harris
