date,venue,event,match_type,total_overs,player_name,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,player11
2017-04-15,Feroz Shah Kotla,Indian Premier League,T20,20,SS Iyer,Delhi Daredevils,22,18,3,0,0,0,0,0,0,0,0,0,25,0,0,25,M Vohra,HM Amla,WP Saha,EJG Morgan,DA Miller,GJ Maxwell,AR Patel,MM Sharma,KC Cariappa,Sandeep Sharma,VR Aaron
2017-04-17,Feroz Shah Kotla,Indian Premier League,T20,20,SS Iyer,Delhi Daredevils,26,17,4,0,0,0,0,0,0,0,0,0,34,0,0,34,G Gambhir,C de Grandhomme,RV Uthappa,MK Pandey,YK Pathan,SA Yadav,CR Woakes,SP Narine,NM Coulter-Nile,Kuldeep Yadav,UT Yadav
2017-04-19,"Rajiv Gandhi International Stadium, Uppal",Indian Premier League,T20,20,SS Iyer,Delhi Daredevils,50,31,5,2,0,0,0,0,0,1,0,0,71,0,8,79,DA Warner,S Dhawan,KS Williamson,Yuvraj Singh,MC Henriques,DJ Hooda,NV Ojha,B Kumar,Rashid Khan,Mohammed Siraj,S Kaul
2017-04-22,Wankhede Stadium,Indian Premier League,T20,20,SS Iyer,Delhi Daredevils,6,7,1,0,0,0,0,0,0,0,0,0,7,0,0,7,PA Patel,JC Buttler,N Rana,RG Sharma,KA Pollard,KH Pandya,HH Pandya,Harbhajan Singh,MJ McClenaghan,MG Johnson,JJ Bumrah
2017-04-28,Eden Gardens,Indian Premier League,T20,20,SS Iyer,Delhi Daredevils,47,35,4,1,0,0,0,0,0,0,0,0,59,0,0,59,SP Narine,G Gambhir,RV Uthappa,MK Pandey,SP Jackson,YK Pathan,C de Grandhomme,CR Woakes,NM Coulter-Nile,UT Yadav,Kuldeep Yadav
2017-04-30,"Punjab Cricket Association IS Bindra Stadium, Mohali",Indian Premier League,T20,20,SS Iyer,Delhi Daredevils,6,7,1,0,0,0,0,0,0,0,0,0,7,0,0,7,MJ Guptill,HM Amla,M Vohra,SE Marsh,GJ Maxwell,WP Saha,AR Patel,MM Sharma,VR Aaron,Sandeep Sharma,T Natarajan
2017-05-02,Feroz Shah Kotla,Indian Premier League,T20,20,SS Iyer,Delhi Daredevils,33,27,1,2,0,0,0,0,0,1,0,0,42,0,8,50,DA Warner,S Dhawan,KS Williamson,Yuvraj Singh,MC Henriques,DJ Hooda,NV Ojha,B Kumar,Rashid Khan,S Kaul,Mohammed Siraj
2017-05-04,Feroz Shah Kotla,Indian Premier League,T20,20,SS Iyer,Delhi Daredevils,14,9,0,2,0,0,0,0,0,1,0,0,18,0,8,26,DR Smith,BB McCullum,SK Raina,KD Karthik,AJ Finch,Ishan Kishan,RA Jadeja,JP Faulkner,PJ Sangwan,Basil Thampi,Ankit Soni
2017-05-06,Feroz Shah Kotla,Indian Premier League,T20,20,SS Iyer,Delhi Daredevils,3,6,0,0,0,0,0,0,0,0,0,0,3,0,0,3,LMP Simmons,PA Patel,KA Pollard,RG Sharma,HH Pandya,N Rana,KV Sharma,Harbhajan Singh,MJ McClenaghan,SL Malinga,JJ Bumrah
2017-05-10,Green Park,Indian Premier League,T20,20,SS Iyer,Delhi Daredevils,96,57,15,2,0,0,0,0,0,0,0,0,127,0,0,127,DR Smith,Ishan Kishan,SK Raina,KD Karthik,AJ Finch,RA Jadeja,JP Faulkner,DS Kulkarni,PJ Sangwan,Basil Thampi,Ankit Soni
